"File","Line","FunctionName","CurrentVerb","SuggestedVerbs","Message","Severity"
".\src\services\NSXAPIService.ps1","5","","","","Ignoring 'TypeNotFound' parse error on type 'CoreAPIService'. Check if the specified type is correct. This can also be due the type not being known at parse time due to types imported by 'using' statements.","Information"
".\src\services\WorkflowOperationsService.ps1","1012","","","","Ignoring 'TypeNotFound' parse error on type 'CoreServiceFactory'. Check if the specified type is correct. This can also be due the type not being known at parse time due to types imported by 'using' statements.","Information"
".\src\utilities\PSScriptAnalyzerUtility.ps1","271","Fix-WriteHost","Fix","","The cmdlet 'Fix-WriteHost' uses an unapproved verb.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","284","Fix-CmdletAliases","Fix","","The cmdlet 'Fix-CmdletAliases' uses an unapproved verb.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","370","Fix-UnusedVariables","Fix","","The cmdlet 'Fix-UnusedVariables' uses an unapproved verb.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","382","Fix-PlainTextPassword","Fix","","The cmdlet 'Fix-PlainTextPassword' uses an unapproved verb.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","390","Fix-ConvertToSecureString","Fix","","The cmdlet 'Fix-ConvertToSecureString' uses an unapproved verb.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","398","Fix-EmptyCatchBlock","Fix","","The cmdlet 'Fix-EmptyCatchBlock' uses an unapproved verb.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","410","Fix-UnapprovedVerbs","Fix","","The cmdlet 'Fix-UnapprovedVerbs' uses an unapproved verb.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","418","Fix-PluralNouns","Fix","","The cmdlet 'Fix-PluralNouns' uses an unapproved verb.","Warning"
".\src\utilities\PSScriptAnalyzerUtility.ps1","426","Fix-MandatoryParameterDefaults","Fix","","The cmdlet 'Fix-MandatoryParameterDefaults' uses an unapproved verb.","Warning"
".\tools\NSXConfigSync-v2.ps1","1828","to","","","The cmdlet 'Filter-ConfigurationByResourceTypes' uses an unapproved verb.","Warning"
".\tools\NSXConfigSync-v2.ps1","1848","to","","","The cmdlet 'Filter-ConfigurationByDomain' uses an unapproved verb.","Warning"
".\tools\NSXConfigSync.ps1","1858","to","","","The cmdlet 'Filter-ConfigurationByResourceTypes' uses an unapproved verb.","Warning"
".\tools\NSXConfigSync.ps1","1878","to","","","The cmdlet 'Filter-ConfigurationByDomain' uses an unapproved verb.","Warning"
