"File","Line","FunctionName","Scope","RiskLevel","ProblematicNoun","SuggestedName","Message"
".claude\hooks\activate_mcp_enforcement.ps1","28","Write-Log","INTERNAL","LOW","","Write-Log","The cmdlet 'Test-HookFiles' uses a plural noun. A singular noun should be used instead."
".claude\hooks\activate_mcp_enforcement.ps1","81","Start-MCPEnforcementHooks","INTERNAL","LOW","MCPEnforcementHooks","Start-MCPEnforcementHook","The cmdlet 'Start-MCPEnforcementHooks' uses a plural noun. A singular noun should be used instead."
"src\services\NSXAPIService.ps1","5","","INTERNAL-SERVICE","MEDIUM","","","Ignoring 'TypeNotFound' parse error on type 'CoreAPIService'. Check if the specified type is correct. This can also be due the type not being known at parse time due to types imported by 'using' statements."
"src\services\StandardToolTemplate.ps1","114","Initialize-StandardServices","PUBLIC-SERVICE","HIGH","StandardServices","Initialize-StandardService","The cmdlet 'Initialize-StandardServices' uses a plural noun. A singular noun should be used instead."
"src\services\StandardToolTemplate.ps1","158","Get-StandardCredentials","PUBLIC-SERVICE","HIGH","StandardCredentials","Get-StandardCredential","The cmdlet 'Get-StandardCredentials' uses a plural noun. A singular noun should be used instead."
"src\services\WorkflowOperationsService.ps1","1012","","INTERNAL-SERVICE","MEDIUM","","","Ignoring 'TypeNotFound' parse error on type 'CoreServiceFactory'. Check if the specified type is correct. This can also be due the type not being known at parse time due to types imported by 'using' statements."
"src\utilities\PSScriptAnalyzerUtility.ps1","284","Fix-CmdletAliases","INTERNAL-UTILITY","LOW","CmdletAliases","Fix-CmdletAliase","The cmdlet 'Fix-CmdletAliases' uses a plural noun. A singular noun should be used instead."
"src\utilities\PSScriptAnalyzerUtility.ps1","370","Fix-UnusedVariables","INTERNAL-UTILITY","LOW","UnusedVariables","Fix-UnusedVariable","The cmdlet 'Fix-UnusedVariables' uses a plural noun. A singular noun should be used instead."
"src\utilities\PSScriptAnalyzerUtility.ps1","410","Fix-UnapprovedVerbs","INTERNAL-UTILITY","LOW","UnapprovedVerbs","Fix-UnapprovedVerb","The cmdlet 'Fix-UnapprovedVerbs' uses a plural noun. A singular noun should be used instead."
"src\utilities\PSScriptAnalyzerUtility.ps1","418","Fix-UnapprovedVerbs","INTERNAL-UTILITY","LOW","UnapprovedVerbs","Fix-UnapprovedVerb","The cmdlet 'Fix-PluralNouns' uses a plural noun. A singular noun should be used instead."
"src\utilities\PSScriptAnalyzerUtility.ps1","426","Fix-PluralNouns","INTERNAL-UTILITY","LOW","PluralNouns","Fix-PluralNoun","The cmdlet 'Fix-MandatoryParameterDefaults' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigReset.ps1","121","for","PUBLIC-TOOL","HIGH","","for","The cmdlet 'Get-ManagerCredentials' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync-v2.ps1","715","for","PUBLIC-TOOL","HIGH","","for","The cmdlet 'Get-SyncManagerCredentials' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync-v2.ps1","1104","Add-StandardCredentialParams","PUBLIC-TOOL","HIGH","StandardCredentialParams","Add-StandardCredentialParam","The cmdlet 'Add-StandardCredentialParams' uses a plural noun. A singular noun should be used instead."
"tools\NSXConfigSync-v2.ps1","1184","to","PUBLIC-TOOL","HIGH","","to","The cmdlet 'Get-ConsolidatedResourceTypes' uses a plural noun. A singular noun should be used instead."
